north_latitude,south_latitude,west_longitud,east_longitude
40.789871667,40.7799901989,-74.0564757717,-74.0457988174
40.7997531351,40.789871667,-73.9283554972,-73.9176769543
40.7997531351,40.789871667,-73.9390340402,-73.9283554972
40.7997531351,40.789871667,-73.9497125832,-73.9390340402
40.7997531351,40.789871667,-73.9603911262,-73.9497125832
40.7997531351,40.789871667,-73.9710696692,-73.9603911262
40.7997531351,40.789871667,-73.9817482121,-73.9710696692
40.7997531351,40.789871667,-73.9924267551,-73.9817482121
40.7997531351,40.789871667,-74.0031052981,-73.9924267551
40.7997531351,40.789871667,-74.0137838411,-74.0031052981
40.7997531351,40.789871667,-74.0244623841,-74.0137838411
40.7997531351,40.789871667,-74.035140927,-74.0244623841
40.7997531351,40.789871667,-74.04581947,-74.035140927
40.7997531351,40.789871667,-74.056498013,-74.04581947
40.8096346033,40.7997531351,-73.9283586755,-73.917678543
40.8096346033,40.7997531351,-73.939038808,-73.9283586755
40.8096346033,40.7997531351,-73.9497189405,-73.939038808
40.8096346033,40.7997531351,-73.9603990729,-73.9497189405
40.8096346033,40.7997531351,-73.9710792054,-73.9603990729
40.8096346033,40.7997531351,-73.9817593379,-73.9710792054
40.8096346033,40.7997531351,-73.9924394704,-73.9817593379
40.8096346033,40.7997531351,-74.0031196029,-73.9924394704
40.8096346033,40.7997531351,-74.0137997354,-74.0031196029
40.8096346033,40.7997531351,-74.0244798679,-74.0137997354
40.8096346033,40.7997531351,-74.0351600004,-74.0244798679
40.8096346033,40.7997531351,-74.0458401329,-74.0351600004
40.8096346033,40.7997531351,-74.0565202654,-74.0458401329
40.8195160714,40.8096346033,-73.9283618553,-73.9176801325
40.8195160714,40.8096346033,-73.9390435781,-73.9283618553
40.8195160714,40.8096346033,-73.9497253009,-73.9390435781
40.8195160714,40.8096346033,-73.9604070237,-73.9497253009
40.8195160714,40.8096346033,-73.9710887465,-73.9604070237
40.8195160714,40.8096346033,-73.9817704692,-73.9710887465
40.8195160714,40.8096346033,-73.992452192,-73.9817704692
40.8195160714,40.8096346033,-74.0031339148,-73.992452192
40.8195160714,40.8096346033,-74.0138156376,-74.0031339148
40.8195160714,40.8096346033,-74.0244973604,-74.0138156376
40.8195160714,40.8096346033,-74.0351790832,-74.0244973604
40.8195160714,40.8096346033,-74.045860806,-74.0351790832
40.8195160714,40.8096346033,-74.0565425288,-74.045860806
40.8293975395,40.8195160714,-73.9283650367,-73.9176817228
